year,point,protocol,species,count
2015,Ashdod Far Semi-Shifting 1,scan,A.s,2
2015,Ashdod Far Semi-Shifting 1,scan,C.s,1
2015,Ashdod Far Semi-Shifting 1,scan,S.d,1
2015,Ashdod Far Semi-Shifting 1,trail,S.s,1
2015,Ashdod Far Semi-Shifting 2,scan,A.s,1
2015,Ashdod Far Semi-Shifting 2,trail,C.s,1
2015,Ashdod Far Semi-Shifting 2,trail,P.s,1
2015,Ashdod Far Semi-Shifting 2,trail,S.d,1
2015,Ashdod Far Semi-Shifting 2,trail,S.s,1
2015,Ashdod Far Semi-Shifting 3,scan,A.s,3
2015,Ashdod Far Semi-Shifting 3,scan,D.p,1
2015,Ashdod Far Semi-Shifting 3,trail,C.s,1
2015,Ashdod Far Semi-Shifting 3,trap,S.s,2
2015,Ashdod Far Shifting 1,scan,A.s,4
2015,Ashdod Far Shifting 1,trail,C.s,1
2015,Ashdod Far Shifting 1,trail,D.p,1
2015,Ashdod Far Shifting 1,trail,S.s,1
2015,Ashdod Far Shifting 2,scan,A.s,4
2015,Ashdod Far Shifting 2,scan,L.d,1
2015,Ashdod Far Shifting 2,trail,C.s,1
2015,Ashdod Far Shifting 2,trail,D.p,1
2015,Ashdod Far Shifting 2,trail,S.s,1
2015,Ashdod Far Shifting 2,trap,C.s,1
2015,Ashdod Far Shifting 3,scan,A.s,3
2015,Ashdod Far Shifting 3,trail,C.s,1
2015,Ashdod Far Shifting 3,trail,S.s,1
2015,Ashdod Near Semi-Shifting 1,trail,C.s,1
2015,Ashdod Near Semi-Shifting 1,trail,P.s,1
2015,Ashdod Near Semi-Shifting 1,trail,S.s,1
2015,Ashdod Near Semi-Shifting 1,trap,C.s,2
2015,Ashdod Near Semi-Shifting 2,trail,C.o,1
2015,Ashdod Near Semi-Shifting 2,trail,C.s,1
2015,Ashdod Near Semi-Shifting 2,trail,S.d,1
2015,Ashdod Near Semi-Shifting 2,trail,S.s,1
2015,Ashdod Near Semi-Shifting 3,scan,A.s,1
2015,Ashdod Near Semi-Shifting 3,trail,C.s,1
2015,Ashdod Near Semi-Shifting 3,trail,S.s,1
2015,Ashkelon Far Semi-Shifting 1,scan,A.s,1
2015,Ashkelon Far Semi-Shifting 1,scan,C.s,1
2015,Ashkelon Far Semi-Shifting 1,scan,S.d,1
2015,Ashkelon Far Semi-Shifting 1,trail,S.d,1
2015,Ashkelon Far Semi-Shifting 1,trail,S.s,1
2015,Ashkelon Far Semi-Shifting 2,trail,C.s,1
2015,Ashkelon Far Semi-Shifting 2,trail,S.d,1
2015,Ashkelon Far Semi-Shifting 2,trail,S.s,1
2015,Ashkelon Far Semi-Shifting 3,scan,A.s,3
2015,Ashkelon Far Semi-Shifting 3,scan,S.d,1
2015,Ashkelon Far Semi-Shifting 3,trail,C.s,1
2015,Ashkelon Far Semi-Shifting 3,trail,S.s,1
2015,Ashkelon Far Shifting 1,scan,A.s,1
2015,Ashkelon Far Shifting 1,trail,C.s,1
2015,Ashkelon Far Shifting 1,trail,S.d,1
2015,Ashkelon Far Shifting 1,trail,S.s,1
2015,Ashkelon Far Shifting 2,scan,L.d,1
2015,Ashkelon Far Shifting 2,trail,C.s,1
2015,Ashkelon Far Shifting 2,trail,S.s,1
2015,Ashkelon Far Shifting 3,trail,C.s,1
2015,Ashkelon Far Shifting 3,trail,L.d,1
2015,Ashkelon Far Shifting 3,trail,S.s,1
2015,Ashkelon Near Semi-Shifting 1,trail,C.s,1
2015,Ashkelon Near Semi-Shifting 1,trail,S.s,1
2015,Ashkelon Near Semi-Shifting 2,trail,C.o,1
2015,Ashkelon Near Semi-Shifting 2,trail,C.s,1
2015,Ashkelon Near Semi-Shifting 2,trail,S.s,1
2015,Ashkelon Near Semi-Shifting 3,trail,C.s,1
2015,Ashkelon Near Semi-Shifting 3,trail,S.d,1
2015,Ashkelon Near Semi-Shifting 3,trail,S.s,1
2015,Caesarea Far Semi-Shifting 1,scan,C.o,1
2015,Caesarea Far Semi-Shifting 1,scan,D.p,1
2015,Caesarea Far Semi-Shifting 1,trail,C.s,1
2015,Caesarea Far Semi-Shifting 1,trail,S.s,1
2015,Caesarea Far Semi-Shifting 2,scan,D.p,1
2015,Caesarea Far Semi-Shifting 2,trail,C.o,1
2015,Caesarea Far Semi-Shifting 2,trail,S.s,1
2015,Caesarea Far Semi-Shifting 3,scan,A.b,3
2015,Caesarea Far Semi-Shifting 3,scan,C.s,1
2015,Caesarea Far Semi-Shifting 3,trail,S.s,1
2015,Caesarea Far Shifting 1,trail,C.s,1
2015,Caesarea Far Shifting 1,trail,S.s,1
2015,Caesarea Far Shifting 1,trap,S.s,1
2015,Caesarea Far Shifting 2,scan,A.b,1
2015,Caesarea Far Shifting 2,trail,C.s,1
2015,Caesarea Far Shifting 2,trail,S.s,1
2015,Caesarea Far Shifting 3,scan,C.s,1
2015,Caesarea Far Shifting 3,trail,S.s,1
2015,Caesarea Near Semi-Shifting 1,scan,A.b,1
2015,Caesarea Near Semi-Shifting 1,trail,C.o,1
2015,Caesarea Near Semi-Shifting 1,trail,C.s,1
2015,Caesarea Near Semi-Shifting 1,trail,S.s,1
2015,Caesarea Near Semi-Shifting 2,scan,D.p,1
2015,Caesarea Near Semi-Shifting 2,trail,C.o,1
2015,Caesarea Near Semi-Shifting 2,trail,C.s,1
2015,Caesarea Near Semi-Shifting 2,trail,S.s,1
2015,Caesarea Near Semi-Shifting 2,trap,A.b,1
2015,Caesarea Near Semi-Shifting 3,scan,A.b,1
2015,Caesarea Near Semi-Shifting 3,trail,C.s,1
2015,Caesarea Near Semi-Shifting 3,trail,S.s,1
2015,Zikim Far Semi-Shifting 1,scan,A.s,2
2015,Zikim Far Semi-Shifting 1,scan,T.g,1
2015,Zikim Far Semi-Shifting 1,trail,C.s,1
2015,Zikim Far Semi-Shifting 1,trail,S.s,1
2015,Zikim Far Semi-Shifting 1,trap,S.s,1
2015,Zikim Far Semi-Shifting 2,scan,L.d,1
2015,Zikim Far Semi-Shifting 2,trail,C.s,1
2015,Zikim Far Semi-Shifting 2,trail,S.s,1
2015,Zikim Far Semi-Shifting 3,scan,D.p,1
2015,Zikim Far Semi-Shifting 3,trail,C.s,1
2015,Zikim Far Semi-Shifting 3,trail,S.d,1
2015,Zikim Far Semi-Shifting 3,trail,S.s,1
2015,Zikim Far Semi-Shifting 3,trap,C.s,1
2015,Zikim Far Shifting 1,scan,T.g,1
2015,Zikim Far Shifting 1,trail,C.s,1
2015,Zikim Far Shifting 1,trail,S.s,1
2015,Zikim Far Shifting 2,trail,S.d,1
2015,Zikim Far Shifting 2,trail,S.s,1
2015,Zikim Far Shifting 2,trap,S.s,1
2015,Zikim Far Shifting 3,trail,L.d,1
2015,Zikim Far Shifting 3,trail,S.s,1
2015,Zikim Near Semi-Shifting 1,scan,A.s,1
2015,Zikim Near Semi-Shifting 1,scan,P.s,1
2015,Zikim Near Semi-Shifting 1,trail,C.s,1
2015,Zikim Near Semi-Shifting 1,trail,M.c,1
2015,Zikim Near Semi-Shifting 2,scan,S.s,1
2015,Zikim Near Semi-Shifting 2,trail,C.s,1
2015,Zikim Near Semi-Shifting 3,scan,A.s,1
2015,Zikim Near Semi-Shifting 3,scan,T.g,1
2015,Zikim Near Semi-Shifting 3,trail,C.s,1
2015,Zikim Near Semi-Shifting 3,trail,E.j,1
2015,Zikim Near Semi-Shifting 3,trail,P.s,1
2015,Zikim Near Semi-Shifting 3,trail,S.s,1
