species,species2
Acanthodactylus scutellatus,A.s
Chalcides sepsoides,C.s
Spalerosophis diadema,S.d
Stenodactylus sthenodactylus,S.s
Psammophis schokari,P.s
Daboia palaestinae,D.p
Lytorhynchus diadema,L.d
Chalcides ocellatus,C.o
Acanthodactylus boskianus,A.b
Testudo graeca,T.g
Macroprotodon cucullatus,M.c
Eryx jaculus,E.j
Varanus griseus,V.g
Xerotyphlops syriacus,X.s
Platyceps collaris,P.c
Chamaeleo chamaeleon,C.c
Laudakia vulgaris,L.v
Mediodactylus orientalis,M.o
Malpolon insignitus,M.i
Ablepharus rueppellii,A.r
Dolichophis jugularis,D.j
Acanthodactylus aegyptius,A.a
Trachylepis vittata,T.vi
